X1,word,lang,poet,century,text
5557,بام,fa,رودکی,3,بام
4250,اشک,fa,رودکی,3,اشک
922,غم,ar,رودکی,3,غم
5414,همی,fa,رودکی,3,همی
152,برم,fa,رودکی,3,برم
7354,نهانی,fa,رودکی,3,نهانی
3702,حملان,ar,رودکی,3,حملان
2060,فزون,ar,رودکی,3,فزون
3439,ترک,fa,رودکی,3,ترک
1462,همی,fa,رودکی,3,همی
6867,زان,fa,رودکی,3,زان
998,شهرهٔ,fa,رودکی,3,شهرهٔ
1511,تیره,fa,رودکی,3,تیره
7681,جو,fa,رودکی,3,جو
4876,آسا,fa,رودکی,3,آسا
388,آدمی,fa,رودکی,3,آدمی
5840,هجر,fa,رودکی,3,هجر
1942,خیل,fa,رودکی,3,خیل
3276,تیز,fa,رودکی,3,تیز
5372,نحس,ar,رودکی,3,نحس
1646,گلستان,fa,رودکی,3,گلستان
1064,جانت,fa,رودکی,3,جانت
7169,سپید,fa,رودکی,3,سپید
4857,گرگ,fa,رودکی,3,گرگ
2633,چرخ,fa,رودکی,3,چرخ
7278,رود,fa,رودکی,3,رود
2143,زمانه,fa,رودکی,3,زمانه
4660,دل,fa,رودکی,3,دل
2999,زان,fa,رودکی,3,زان
1437,کین,fa,رودکی,3,کین
5160,آیین,fa,رودکی,3,آیین
1566,هم،,fa,رودکی,3,هم،
7134,آذر,fa,رودکی,3,آذر
7683,خستی,fa,رودکی,3,خستی
4201,پیری,fa,رودکی,3,پیری
789,یوسف,ar,رودکی,3,یوسف
6483,شدست,fa,رودکی,3,شدست
5062,خورشید,fa,رودکی,3,خورشید
7615,زهر,fa,رودکی,3,زهر
2862,یاقوت,ar,رودکی,3,یاقوت
3323,بلور,ar,رودکی,3,بلور
5321,ژاله,fa,رودکی,3,ژاله
4903,فرو,fa,رودکی,3,فرو
513,غم,ar,رودکی,3,غم
2123,زلفکان,fa,رودکی,3,زلفکان
4995,پیشانی,fa,رودکی,3,پیشانی
6422,غم,ar,رودکی,3,غم
439,ده،,fa,رودکی,3,ده،
5689,نهی,fa,رودکی,3,نهی
4116,خاتم,fa,رودکی,3,خاتم
2814,چوگان,fa,رودکی,3,چوگان
3985,کنده,fa,رودکی,3,کنده
7179,کفیده,fa,رودکی,3,کفیده
261,صبا,ar,رودکی,3,صبا
1404,نهاد,fa,رودکی,3,نهاد
1702,همچو,fa,رودکی,3,همچو
2624,شانه,fa,رودکی,3,شانه
2478,شیفته,fa,رودکی,3,شیفته
522,چنینست،,fa,رودکی,3,چنینست،
2167,شعرش,ar,رودکی,3,شعرش
4028,کشکین,fa,رودکی,3,کشکین
3077,عاشق,ar,رودکی,3,عاشق
386,نشیب,fa,رودکی,3,نشیب
5625,هن,fa,رودکی,3,هن
6772,نیک,fa,رودکی,3,نیک
6039,دمنده,fa,رودکی,3,دمنده
3590,ور,fa,رودکی,3,ور
2077,شب,fa,رودکی,3,شب
6572,کار,fa,رودکی,3,کار
1902,خدنگ,fa,رودکی,3,خدنگ
2492,که:,fa,رودکی,3,که:
4347,سحابستی,ar,رودکی,3,سحابستی
2296,تا:,fa,رودکی,3,تا:
5791,دلبرا،,fa,رودکی,3,دلبرا،
408,بزیب,fa,رودکی,3,بزیب
7614,بپرداخت,fa,رودکی,3,بپرداخت
6919,ماه,fa,رودکی,3,ماه
1714,شاعران,ar,رودکی,3,شاعران
2118,سنگ,fa,رودکی,3,سنگ
7090,زرین,fa,رودکی,3,زرین
5671,دندان,fa,رودکی,3,دندان
7635,زبانی,fa,رودکی,3,زبانی
5911,برآرند,fa,رودکی,3,برآرند
2913,وآن,fa,رودکی,3,وآن
1514,ملک,fa,رودکی,3,ملک
3001,گر,fa,رودکی,3,گر
5656,تاراج,fa,رودکی,3,تاراج
6596,ستونش,fa,رودکی,3,ستونش
5897,عیش,ar,رودکی,3,عیش
3878,بدویدی,fa,رودکی,3,بدویدی
5917,نبیذ,ar,رودکی,3,نبیذ
4618,تحقیق,ar,رودکی,3,تحقیق
1498,بام,fa,رودکی,3,بام
205,درا,fa,رودکی,3,درا
942,کجه,fa,رودکی,3,کجه
3348,فراز,fa,رودکی,3,فراز
3571,ایمان,fa,رودکی,3,ایمان
410,شدست,fa,رودکی,3,شدست
3679,انبان,fa,رودکی,3,انبان
1761,بشو,fa,رودکی,3,بشو
2992,خانه,fa,رودکی,3,خانه
6533,پاسخ,fa,رودکی,3,پاسخ
1013,عشق،,ar,رودکی,3,عشق،
7567,مجلس,ar,رودکی,3,مجلس
985,گریه,fa,رودکی,3,گریه
3022,جام,fa,رودکی,3,جام
4251,مهجوران,fa,رودکی,3,مهجوران
4380,دگر,fa,رودکی,3,دگر
5168,گردش,fa,رودکی,3,گردش
7573,راز,fa,رودکی,3,راز
6098,تیمار,fa,رودکی,3,تیمار
7498,گوسپند,fa,رودکی,3,گوسپند
2699,ببرند,fa,رودکی,3,ببرند
4880,رباید,fa,رودکی,3,رباید
944,شب,fa,رودکی,3,شب
603,چراغ,fa,رودکی,3,چراغ
4426,بود،,fa,رودکی,3,بود،
2141,ندیدی,fa,رودکی,3,ندیدی
5258,ترا,fa,رودکی,3,ترا
5140,مکن,fa,رودکی,3,مکن
1773,شعر,ar,رودکی,3,شعر
7564,هفتم,fa,رودکی,3,هفتم
3987,ببریده,fa,رودکی,3,ببریده
3212,جان,fa,رودکی,3,جان
3372,خیری,fa,رودکی,3,خیری
4055,زمین,fa,رودکی,3,زمین
5037,فدست,fa,رودکی,3,فدست
926,غم,ar,رودکی,3,غم
3436,خوبان,fa,رودکی,3,خوبان
6594,برده،,fa,رودکی,3,برده،
7296,همچو,fa,رودکی,3,همچو
69,خون,fa,رودکی,3,خون
2599,می‌دهی,fa,رودکی,3,می‌دهی
4729,شب,fa,رودکی,3,شب
1309,پوشیده,fa,رودکی,3,پوشیده
1534,او،,fa,رودکی,3,او،
495,که:,fa,رودکی,3,که:
823,غم,ar,رودکی,3,غم
4033,گرد,fa,رودکی,3,گرد
1625,جشن,fa,رودکی,3,جشن
5724,انگشت,fa,رودکی,3,انگشت
5419,فرخشه,fa,رودکی,3,فرخشه
5446,حاجت,ar,رودکی,3,حاجت
4187,ببینی,ar,رودکی,3,ببینی
2485,نکو,fa,رودکی,3,نکو
1440,درد,fa,رودکی,3,درد
3243,جوش,fa,رودکی,3,جوش
3526,مناقب,ar,رودکی,3,مناقب
6862,زنگارگون,fa,رودکی,3,زنگارگون
923,افغان,fa,رودکی,3,افغان
4441,زاری,fa,رودکی,3,زاری
7390,چیره,fa,رودکی,3,چیره
3196,شعر,ar,رودکی,3,شعر
2629,خون,fa,رودکی,3,خون
4490,تتاری,ar,رودکی,3,تتاری
1506,خرد,fa,رودکی,3,خرد
5845,ترا,fa,رودکی,3,ترا
6433,آفریده,fa,رودکی,3,آفریده
3393,فؤادی,ar,رودکی,3,فؤادی
7309,خنده,fa,رودکی,3,خنده
2033,سان,fa,رودکی,3,سان
6886,گزین,fa,رودکی,3,گزین
2247,بخیلا،,fa,رودکی,3,بخیلا،
324,قضیب,ar,رودکی,3,قضیب
53,اینند,fa,رودکی,3,اینند
2135,آسوده,fa,رودکی,3,آسوده
5544,خواره,fa,رودکی,3,خواره
1780,مستی,ar,رودکی,3,مستی
128,پسر،,fa,رودکی,3,پسر،
234,اندران,fa,رودکی,3,اندران
1624,ملکا،,fa,رودکی,3,ملکا،
339,سار,fa,رودکی,3,سار
4632,حیف,ar,رودکی,3,حیف
236,بینند,fa,رودکی,3,بینند
