track_id,poet,lyrics,lyrics source,disc_number,duration_ms,explicit,track_name,track_name_farsi,artist_name,artist_name_farsi,popularity,track_number,album_href,album_id,album_name,album_release_date,album_total_tracks,album_release_year,track_href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode,artist_id,lyrics,poet,lyric source,genre
31iPeC6I0AiRW8InOxNKzm,NA,NA,NA,1,446880,FALSE,Ghazale Taze,NA,Salar Aghili,سالار عقیلی,NA,1,NA,6GcmAWrnnMb2BuVriPhBLa,Va Eshgh Amad,2020-02-03,NA,2020,https://api.spotify.com/v1/tracks/31iPeC6I0AiRW8InOxNKzm,0.437,0.39,0,-7.17,0,0.0299,0.839,3.51E-05,0.136,0.33,131.913,3,C,minor,C minor,NA,,,,
4Fi46ha8teWYTwk0b8fNPi,NA,NA,NA,1,851920,FALSE,Ayeeneye Hosn,NA,Salar Aghili,سالار عقیلی,NA,2,NA,6GcmAWrnnMb2BuVriPhBLa,Va Eshgh Amad,2020-02-03,NA,2020,https://api.spotify.com/v1/tracks/4Fi46ha8teWYTwk0b8fNPi,0.379,0.146,5,-10.008,1,0.0414,0.97,3.60E-04,0.0812,0.346,105.634,4,F,major,F major,NA,,,,
0lQAe6EslKA7CUsS7SCW6Q,NA,NA,NA,1,293160,FALSE,Tarke Eshgh,NA,Salar Aghili,سالار عقیلی,NA,3,NA,6GcmAWrnnMb2BuVriPhBLa,Va Eshgh Amad,2020-02-03,NA,2020,https://api.spotify.com/v1/tracks/0lQAe6EslKA7CUsS7SCW6Q,0.437,0.453,5,-5.392,0,0.0349,0.664,0.00207,0.11,0.501,94.651,5,F,minor,F minor,NA,,,,
6dAFmJdVsKk5ksCpGqnKgO,NA,NA,NA,1,648720,FALSE,Moghbacheye Bade Foroosh,NA,Salar Aghili,سالار عقیلی,NA,4,NA,6GcmAWrnnMb2BuVriPhBLa,Va Eshgh Amad,2020-02-03,NA,2020,https://api.spotify.com/v1/tracks/6dAFmJdVsKk5ksCpGqnKgO,0.488,0.138,2,-12.287,0,0.0451,0.915,0.00658,0.212,0.445,110.967,5,D,minor,D minor,NA,,,,
4VSDJGyEdSMB8UL4fDSCvv,NA,NA,NA,1,273480,FALSE,Bigharar,NA,Salar Aghili,سالار عقیلی,NA,5,NA,6GcmAWrnnMb2BuVriPhBLa,Va Eshgh Amad,2020-02-03,NA,2020,https://api.spotify.com/v1/tracks/4VSDJGyEdSMB8UL4fDSCvv,0.301,0.443,0,-5.702,0,0.0334,0.657,8.47E-06,0.12,0.41,148.053,1,C,minor,C minor,NA,,,,
1tqsOZ3fGtMXL0r2ySBpvA,NA,NA,NA,1,260754,FALSE,Negar,NA,Salar Aghili,سالار عقیلی,NA,1,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/1tqsOZ3fGtMXL0r2ySBpvA,0.577,0.366,0,-6.668,0,0.0368,0.834,3.94E-06,0.111,0.367,77.453,3,C,minor,C minor,NA,,,,
4bUfHr5VZapGvOkMfhTsvw,NA,NA,NA,1,250827,FALSE,Naro,NA,Salar Aghili,سالار عقیلی,NA,2,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/4bUfHr5VZapGvOkMfhTsvw,0.389,0.363,6,-8.491,0,0.0329,0.905,3.53E-04,0.0955,0.193,108.016,4,F#,minor,F# minor,NA,,,,
1VdLmAW4w0xpfdO3HZuzUP,NA,NA,NA,1,627226,FALSE,Kabe Eshgh,NA,Salar Aghili,سالار عقیلی,NA,3,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/1VdLmAW4w0xpfdO3HZuzUP,0.329,0.254,9,-12.627,0,0.0361,0.905,0.00169,0.107,0.171,92.121,3,A,minor,A minor,NA,,,,
03prUrpk508fw0l1bLED9v,NA,NA,NA,1,280111,FALSE,Dar Zire In Avar,NA,Salar Aghili,سالار عقیلی,NA,4,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/03prUrpk508fw0l1bLED9v,0.344,0.283,9,-8.48,0,0.0344,0.911,0.00151,0.145,0.356,117.124,4,A,minor,A minor,NA,,,,
6T9uwyZGvWfRfuY292yHtk,NA,NA,NA,1,281391,FALSE,Bargrizan,NA,Salar Aghili,سالار عقیلی,NA,5,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/6T9uwyZGvWfRfuY292yHtk,0.328,0.351,2,-6.988,0,0.0322,0.833,1.04E-06,0.094,0.0638,106.49,5,D,minor,D minor,NA,,,,
